q,latitude,longitude,result_label,result_score,result_score_next,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district,result_status
206 Boulevard PEREIRE 75017 PARIS Paris,48.880461,2.288405,206 Boulevard Pereire 75017 Paris,0.8406984210526315,,housenumber,75117_7258_00206,206,206 Boulevard Pereire,Boulevard Pereire,75017,Paris,"75, Paris, Île-de-France",75117,,,Paris 17e Arrondissement,ok
11 RUE DE REIMS 75013 PARIS Paris,48.828374,2.371458,11 Rue de Reims 75013 Paris,0.8017290909090908,,housenumber,75113_8109_00011,11,11 Rue de Reims,Rue de Reims,75013,Paris,"75, Paris, Île-de-France",75113,,,Paris 13e Arrondissement,ok
37 RUE CHARCOT 75013 PARIS Paris,48.829844,2.369682,37 Rue Charcot 75013 Paris,0.8000814662756597,,housenumber,75113_1786_00037,37,37 Rue Charcot,Rue Charcot,75013,Paris,"75, Paris, Île-de-France",75113,,,Paris 13e Arrondissement,ok
52 RUE MADEMOISELLE 75015 PARIS Paris,48.8433,2.299716,52 Rue Mademoiselle 75015 Paris,0.8292430303030303,,housenumber,75115_5893_00052,52,52 Rue Mademoiselle,Rue Mademoiselle,75015,Paris,"75, Paris, Île-de-France",75115,,,Paris 15e Arrondissement,ok
113 AVENUE CHARLES DE GAULLE 92200 NEUILLY SUR SEINE Hauts-de-Seine,48.881485,2.269683,113 Avenue Charles de Gaulle 92200 Neuilly-sur-Seine,0.7716438842975206,,housenumber,92051_1436_00113,113,113 Avenue Charles de Gaulle,Avenue Charles de Gaulle,92200,Neuilly-sur-Seine,"92, Hauts-de-Seine, Île-de-France",92051,,,,ok
100 Quai DE LA RAPEE 75012 PARIS Paris,48.846279,2.367251,100 Quai de la Rapée 75012 Paris,0.828763488943489,,housenumber,75112_8037_00100,100,100 Quai de la Rapée,Quai de la Rapée,75012,Paris,"75, Paris, Île-de-France",75112,,,Paris 12e Arrondissement,ok
2 RUE DE L EQUERRE 78290 CROISSY SUR SEINE Yvelines,48.876471,2.143942,2 Rue de l'Equerre 78290 Croissy-sur-Seine,0.7998754545454544,,housenumber,78190_0270_00002,2,2 Rue de l'Equerre,Rue de l'Equerre,78290,Croissy-sur-Seine,"78, Yvelines, Île-de-France",78190,,,,ok
6 Rue DE JUVISY 91200 ATHIS MONS Essonne,48.69212,2.382252,6 Rue de Juvisy 91200 Athis-Mons,0.7860998135198134,,housenumber,91027_2820_00006,6,6 Rue de Juvisy,Rue de Juvisy,91200,Athis-Mons,"91, Essonne, Île-de-France",91027,,,,ok
39 AVENUE GEORGES POMPIDOU 92300 LEVALLOIS PERRET Hauts-de-Seine,48.898718,2.281055,39 Avenue Georges Pompidou 92300 Levallois-Perret,0.752014329004329,0.6025281139755766,housenumber,92044_4142_00039,39,39 Avenue Georges Pompidou,Avenue Georges Pompidou,92300,Levallois-Perret,"92, Hauts-de-Seine, Île-de-France",92044,,,,ok
35 RUE ETIENNE MARCEL 93500 PANTIN Seine-Saint-Denis,48.89425,2.404059,35 Rue Etienne Marcel 93500 Pantin,0.6496962032085561,,housenumber,93055_3170_00035,35,35 Rue Etienne Marcel,Rue Etienne Marcel,93500,Pantin,"93, Seine-Saint-Denis, Île-de-France",93055,,,,ok
1 RUE CLARISSE LOUVET 93470 COUBRON Seine-Saint-Denis,48.915937,2.579627,1 Rue Clarisse Louvet 93470 Coubron,0.6369510489510489,,housenumber,93015_0155_00001,1,1 Rue Clarisse Louvet,Rue Clarisse Louvet,93470,Coubron,"93, Seine-Saint-Denis, Île-de-France",93015,,,,ok
56 AVENUE GUY MOQUET 94400 VITRY SUR SEINE Val-de-Marne,48.790778,2.396981,56 Avenue Guy Môquet 94400 Vitry-sur-Seine,0.756682962962963,,housenumber,94081_4290_00056,56,56 Avenue Guy Môquet,Avenue Guy Môquet,94400,Vitry-sur-Seine,"94, Val-de-Marne, Île-de-France",94081,,,,ok
9 RUE PIERRE CURIE 95360 MONTMAGNY Val-d'Oise,48.96235,2.336083,9 Rue Pierre Curie 95360 Montmagny,0.7370481818181818,,housenumber,95427_0600_00009,9,9 Rue Pierre Curie,Rue Pierre Curie,95360,Montmagny,"95, Val-d'Oise, Île-de-France",95427,,,,ok
43 AVENUE DU BAC 94210 SAINT-MAUR-DES-FOSSÉS Val-de-Marne,48.795956,2.508066,43 Avenue du Bac 94210 Saint-Maur-des-Fossés,0.7670355844155844,0.6018027272727272,housenumber,94068_0605_00043,43,43 Avenue du Bac,Avenue du Bac,94210,Saint-Maur-des-Fossés,"94, Val-de-Marne, Île-de-France",94068,,,,ok
206 Boulevard PEREIRE 75017 PARIS Paris,48.880461,2.288405,206 Boulevard Pereire 75017 Paris,0.8406984210526315,,housenumber,75117_7258_00206,206,206 Boulevard Pereire,Boulevard Pereire,75017,Paris,"75, Paris, Île-de-France",75117,,,Paris 17e Arrondissement,ok
PLACE MICHEL HOUEL 77580 CRECY LA CHAPELLE Seine-et-Marne,48.858052,2.908279,Place Michel Houel 77580 Crécy-la-Chapelle,0.7040916883116882,,street,77142_1043,,Place Michel Houel,Place Michel Houel,77580,Crécy-la-Chapelle,"77, Seine-et-Marne, Île-de-France",77142,,,,ok
67 GRANDE RUE 91510 LARDY Essonne,48.521195,2.264874,67 Grande Rue 91510 Lardy,0.7370536363636363,0.46910918762088977,housenumber,91330_0400_00067,67,67 Grande Rue,Grande Rue,91510,Lardy,"91, Essonne, Île-de-France",91330,,,,ok
7 AVENUE HENRI BARBUSSE 93150 LE BLANC MESNIL Seine-Saint-Denis,48.936329,2.457795,7 Avenue Henri Barbusse 93150 Le Blanc-Mesnil,0.7119694721407624,,housenumber,93007_1180_00007,7,7 Avenue Henri Barbusse,Avenue Henri Barbusse,93150,Le Blanc-Mesnil,"93, Seine-Saint-Denis, Île-de-France",93007,,,,ok
23 ESPLANADE DU GRAND SIECLE 78000 VERSAILLES Yvelines,48.803714,2.156445,23 Esplanade du Grand Siecle 78000 Versailles,0.8158706174957118,,housenumber,78646_0952_00023,23,23 Esplanade du Grand Siecle,Esplanade du Grand Siecle,78000,Versailles,"78, Yvelines, Île-de-France",78646,,,,ok
13 SQUARE DES NEUVERIES 91190 GIF SUR YVETTE Essonne,48.683121,2.116278,13 Square des Neuveries 91190 Gif-sur-Yvette,0.8156720499108734,,housenumber,91272_1916_00013,13,13 Square des Neuveries,Square des Neuveries,91190,Gif-sur-Yvette,"91, Essonne, Île-de-France",91272,,,,ok
36 AVENUE NIEL 75017 PARIS Paris,48.881717,2.296001,36 Avenue Niel 75017 Paris,0.8019005571847506,0.46183585858585857,housenumber,75117_6773_00036,36,36 Avenue Niel,Avenue Niel,75017,Paris,"75, Paris, Île-de-France",75117,,,Paris 17e Arrondissement,ok
30 Rue CHAMPIONNET 75018 PARIS Paris,48.895498,2.349992,30 Rue Championnet 75018 Paris,0.828364935064935,0.7004845454545453,housenumber,75118_1723_00030,30,30 Rue Championnet,Rue Championnet,75018,Paris,"75, Paris, Île-de-France",75118,,,Paris 18e Arrondissement,ok
3 RUE DU CHATEAU 77160 CHENOISE Seine-et-Marne,48.61534,3.194855,3 Rue du Château 77160 Chenoise-Cucharmoy,0.5875705317324185,0.5610568831168831,housenumber,77109_0015_00003,3,3 Rue du Château,Rue du Château,77160,Chenoise-Cucharmoy,"77, Seine-et-Marne, Île-de-France",77109,77109,Chenoise,,ok
38 Esplanade DE L EUROPE 95100 ARGENTEUIL Val-d'Oise,48.952818,2.225977,Esplanade de l’Europe 95100 Argenteuil,0.7122419964349376,,street,95018_2048,,Esplanade de l’Europe,Esplanade de l’Europe,95100,Argenteuil,"95, Val-d'Oise, Île-de-France",95018,,,,ok
57 RUE LAFAYETTE 77610 FONTENAY TRESIGNY Seine-et-Marne,48.70368,2.877729,Rue la Fayette 77610 Fontenay-Trésigny,0.62252,0.5688230622009569,street,77192_qlsv81,,Rue la Fayette,Rue la Fayette,77610,Fontenay-Trésigny,"77, Seine-et-Marne, Île-de-France",77192,,,,ok
63 AVENUE DE SEVIGNE 93390 CLICHY SOUS BOIS Seine-Saint-Denis,48.911508,2.549558,63 Avenue de Sévigné 93390 Clichy-sous-Bois,0.6929727272727272,0.5127581818181818,housenumber,93014_0850_00063,63,63 Avenue de Sévigné,Avenue de Sévigné,93390,Clichy-sous-Bois,"93, Seine-Saint-Denis, Île-de-France",93014,,,,ok
42 RUE CURIAL 75019 PARIS Paris,48.892155,2.372772,42 Rue Curial 75019 Paris,0.7992363636363636,0.5310061038961038,housenumber,75119_2494_00042,42,42 Rue Curial,Rue Curial,75019,Paris,"75, Paris, Île-de-France",75119,,,Paris 19e Arrondissement,ok
30 RUE GABRIEL PERI 93310 LE PRE ST GERVAIS Seine-Saint-Denis,48.885985,2.406478,30 Rue Gabriel Péri 93310 Le Pré-Saint-Gervais,0.7380590909090909,,housenumber,93061_4110_00030,30,30 Rue Gabriel Péri,Rue Gabriel Péri,93310,Le Pré-Saint-Gervais,"93, Seine-Saint-Denis, Île-de-France",93061,,,,ok
57 RUE AUGUSTE RENOIR 93600 AULNAY SOUS BOIS Seine-Saint-Denis,48.958234,2.495393,57 Rue Auguste Renoir 93600 Aulnay-sous-Bois,0.7075427570789865,,housenumber,93005_0233_00057,57,57 Rue Auguste Renoir,Rue Auguste Renoir,93600,Aulnay-sous-Bois,"93, Seine-Saint-Denis, Île-de-France",93005,,,,ok
"8 Rue Primo Levi, L'Étoile 93000 BOBIGNY Seine-Saint-Denis",48.912691,2.427745,8 Rue de l'Etoile 93000 Bobigny,0.5487220779220779,0.46814909090909085,housenumber,93008_3170_00008,8,8 Rue de l'Etoile,Rue de l'Etoile,93000,Bobigny,"93, Seine-Saint-Denis, Île-de-France",93008,,,,ok
1 RUE MASSENET 91860 EPINAY SOUS SENART Essonne,48.694893,2.52221,1 Rue Massenet 91860 Épinay-sous-Sénart,0.7919145059288537,,housenumber,91215_1140_00001,1,1 Rue Massenet,Rue Massenet,91860,Épinay-sous-Sénart,"91, Essonne, Île-de-France",91215,,,,ok
15 RUE MIRIAM MAKEBA 93000 BOBIGNY Seine-Saint-Denis,48.905888,2.440361,Rue Miriam Makeba 93000 Bobigny,0.5922502673796791,,street,93008_6233,,Rue Miriam Makeba,Rue Miriam Makeba,93000,Bobigny,"93, Seine-Saint-Denis, Île-de-France",93008,,,,ok
42 Rue DE LA RÉPUBLIQUE 93200 ST DENIS Seine-Saint-Denis,48.936503,2.354657,42 Rue de la République 93200 Saint-Denis,0.7294070247933884,,housenumber,93066_8131_00042,42,42 Rue de la République,Rue de la République,93200,Saint-Denis,"93, Seine-Saint-Denis, Île-de-France",93066,,,,ok
40 RUE DE LA SABLIERE 75014 PARIS Paris,48.832227,2.321736,40 Rue de la Sablière 75014 Paris,0.8327511483253588,,housenumber,75114_8446_00040,40,40 Rue de la Sablière,Rue de la Sablière,75014,Paris,"75, Paris, Île-de-France",75114,,,Paris 14e Arrondissement,ok
82 AVENUE EMILE ZOLA 75015 PARIS Paris,48.846508,2.287146,82 Avenue Emile Zola 75015 Paris,0.8351807616707616,0.5914080487804877,housenumber,75115_3266_00082,82,82 Avenue Emile Zola,Avenue Emile Zola,75015,Paris,"75, Paris, Île-de-France",75115,,,Paris 15e Arrondissement,ok
12 BOULEVARD DU TEMPLE 75011 PARIS Paris,48.864248,2.366349,12 Boulevard du Temple 75011 Paris,0.8335407692307693,0.4697133566433566,housenumber,75111_9190_00012,12,12 Boulevard du Temple,Boulevard du Temple,75011,Paris,"75, Paris, Île-de-France",75111,,,Paris 11e Arrondissement,ok
27 Rue DE LA CONVENTION 75015 PARIS Paris,48.84475,2.280145,27 Rue de la Convention 75015 Paris,0.8487527272727272,,housenumber,75115_2300_00027,27,27 Rue de la Convention,Rue de la Convention,75015,Paris,"75, Paris, Île-de-France",75115,,,Paris 15e Arrondissement,ok
35 RUE DU GENERAL FOY 75008 PARIS Paris,48.879734,2.316854,35 Rue du Général Foy 75008 Paris,0.825793875598086,,housenumber,75108_4041_00035,35,35 Rue du Général Foy,Rue du Général Foy,75008,Paris,"75, Paris, Île-de-France",75108,,,Paris 8e Arrondissement,ok
121 RUE MANIN 75019 PARIS Paris,48.883792,2.389585,121 Rue Manin 75019 Paris,0.7994527272727272,0.503643896103896,housenumber,75119_5976_00121,121,121 Rue Manin,Rue Manin,75019,Paris,"75, Paris, Île-de-France",75119,,,Paris 19e Arrondissement,ok
9 Rue FLEUR BEGNE 77130 MONTEREAU FAULT YONNE Seine-et-Marne,48.396569,2.955408,9 Rue Fleur Bégné 77130 Montereau-Fault-Yonne,0.7320161016949153,,housenumber,77305_0580_00009,9,9 Rue Fleur Bégné,Rue Fleur Bégné,77130,Montereau-Fault-Yonne,"77, Seine-et-Marne, Île-de-France",77305,,,,ok
2 RUE MARYSE BASTIE 78200 MANTES LA JOLIE Yvelines,48.999261,1.683114,2 Rue Maryse Bastie 78200 Mantes-la-Jolie,0.7920168460111316,,housenumber,78361_1325_00002,2,2 Rue Maryse Bastie,Rue Maryse Bastie,78200,Mantes-la-Jolie,"78, Yvelines, Île-de-France",78361,,,,ok
15 RUE D ALSACE 78500 SARTROUVILLE Yvelines,48.932127,2.155657,15 Rue d'Alsace 78500 Sartrouville,0.7742384415584415,,housenumber,78586_0090_00015,15,15 Rue d'Alsace,Rue d'Alsace,78500,Sartrouville,"78, Yvelines, Île-de-France",78586,,,,ok
3 PLACE ALPHONSE DAUDET 91130 RIS ORANGIS Essonne,48.657596,2.410805,3 Place Alphonse Daudet 91130 Ris-Orangis,0.807531212121212,,housenumber,91521_0090_00003,3,3 Place Alphonse Daudet,Place Alphonse Daudet,91130,Ris-Orangis,"91, Essonne, Île-de-France",91521,,,,ok
14 BIS RUE DU GENERAL LECLERC 78380 BOUGIVAL Yvelines,48.866275,2.138115,14bis Rue du Général Leclerc 78380 Bougival,0.7600980960548885,,housenumber,78092_0330_00014_bis,14bis,14bis Rue du Général Leclerc,Rue du Général Leclerc,78380,Bougival,"78, Yvelines, Île-de-France",78092,,,,ok
25 Promenade MAXIME GORKI 78500 SARTROUVILLE Yvelines,48.944644,2.196974,25 Promenade Maxime Gorki 78500 Sartrouville,0.8065582517482516,,housenumber,78586_2196_00025,25,25 Promenade Maxime Gorki,Promenade Maxime Gorki,78500,Sartrouville,"78, Yvelines, Île-de-France",78586,,,,ok
35 BIS RUE ROGER SALENGRO 93140 BONDY Seine-Saint-Denis,48.899614,2.478663,35bis Rue Roger Salengro 93140 Bondy,0.6285898347107437,,housenumber,93010_8172_00035_bis,35bis,35bis Rue Roger Salengro,Rue Roger Salengro,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,,ok
7 AVENUE JEAN JAURES 93110 ROSNY SOUS BOIS Seine-Saint-Denis,48.870482,2.4865,7 Avenue Jean Jaurès 93110 Rosny-sous-Bois,0.6991238674884437,,housenumber,93064_4730_00007,7,7 Avenue Jean Jaurès,Avenue Jean Jaurès,93110,Rosny-sous-Bois,"93, Seine-Saint-Denis, Île-de-France",93064,,,,ok
2 BIS RUE DU STADE 91330 YERRES Essonne,48.710872,2.481352,2bis Rue du Stade 91330 Yerres,0.7060661072261072,,housenumber,91691_3600_00002_bis,2bis,2bis Rue du Stade,Rue du Stade,91330,Yerres,"91, Essonne, Île-de-France",91691,,,,ok
1 AVENUE JEAN JAURES 95330 DOMONT Val-d'Oise,49.029774,2.33035,1 Avenue Jean Jaurés 95330 Domont,0.7366482241014799,,housenumber,95199_0400_00001,1,1 Avenue Jean Jaurés,Avenue Jean Jaurés,95330,Domont,"95, Val-d'Oise, Île-de-France",95199,,,,ok
107 AVENUE DE LA RESISTANCE 93340 LE RAINCY Seine-Saint-Denis,48.896829,2.51522,107 Avenue de la Résistance 93340 Le Raincy,0.6974981818181817,,housenumber,93062_0800_00107,107,107 Avenue de la Résistance,Avenue de la Résistance,93340,Le Raincy,"93, Seine-Saint-Denis, Île-de-France",93062,,,,ok
143 AVENUE DE LA REPUBLIQUE 77340 PONTAULT COMBAULT Seine-et-Marne,48.799081,2.605931,143 Avenue de la République 77340 Pontault-Combault,0.7646525174825175,,housenumber,77373_1080_00143,143,143 Avenue de la République,Avenue de la République,77340,Pontault-Combault,"77, Seine-et-Marne, Île-de-France",77373,,,,ok
36 RUE DE TURIN 75008 PARIS Paris,48.882428,2.324464,36 Rue de Turin 75008 Paris,0.7978181818181818,,housenumber,75108_9510_00036,36,36 Rue de Turin,Rue de Turin,75008,Paris,"75, Paris, Île-de-France",75108,,,Paris 8e Arrondissement,ok
2 RUE VICTOR HUGO 77880 GREZ SUR LOING Seine-et-Marne,48.314595,2.687716,2 Rue Victor Hugo 77880 Grez-sur-Loing,0.6947831468531468,,housenumber,77216_0720_00002,2,2 Rue Victor Hugo,Rue Victor Hugo,77880,Grez-sur-Loing,"77, Seine-et-Marne, Île-de-France",77216,,,,ok
206 Boulevard PEREIRE 75017 PARIS Paris,48.880461,2.288405,206 Boulevard Pereire 75017 Paris,0.8406984210526315,,housenumber,75117_7258_00206,206,206 Boulevard Pereire,Boulevard Pereire,75017,Paris,"75, Paris, Île-de-France",75117,,,Paris 17e Arrondissement,ok
178 Rue DE VAUGIRARD 75738 PARIS CEDEX 15 Paris,48.842263,2.310161,178 Rue de Vaugirard 75015 Paris,0.6264015151515151,0.4836427272727272,housenumber,75115_9624_00178,178,178 Rue de Vaugirard,Rue de Vaugirard,75015,Paris,"75, Paris, Île-de-France",75115,,,Paris 15e Arrondissement,ok
61 AVENUE FRANKLIN DELANO ROOSEVELT 75008 PARIS Paris,48.871643,2.309873,61 Avenue Franklin D. Roosevelt 75008 Paris,0.7470508919382504,,housenumber,75108_3824_00061,61,61 Avenue Franklin D. Roosevelt,Avenue Franklin D. Roosevelt,75008,Paris,"75, Paris, Île-de-France",75108,,,Paris 8e Arrondissement,ok
78 RUE DE LA PLANCHETTE 95350 ST BRICE SOUS FORET Val-d'Oise,49.001477,2.349406,78 Rue de la Planchette 95350 Saint-Brice-sous-Forêt,0.73508886002886,,housenumber,95539_0415_00078,78,78 Rue de la Planchette,Rue de la Planchette,95350,Saint-Brice-sous-Forêt,"95, Val-d'Oise, Île-de-France",95539,,,,ok
21 RUE DES FRERES CAPUCINS 95310 ST OUEN L AUMONE Val-d'Oise,49.041526,2.110321,21 Rue des Frères Capucins 95310 Saint-Ouen-l'Aumône,0.7301006782106781,,housenumber,95572_0276_00021,21,21 Rue des Frères Capucins,Rue des Frères Capucins,95310,Saint-Ouen-l'Aumône,"95, Val-d'Oise, Île-de-France",95572,,,,ok
230 RUE PIERRE CURIE 77190 DAMMARIE LES LYS Seine-et-Marne,48.514841,2.64024,230 Rue Pierre Curie 77190 Dammarie-les-Lys,0.7229800956937799,0.49022389610389605,housenumber,77152_0670_00230,230,230 Rue Pierre Curie,Rue Pierre Curie,77190,Dammarie-les-Lys,"77, Seine-et-Marne, Île-de-France",77152,,,,ok
26 RUE JEAN LECLAIRE 95220 HERBLAY Val-d'Oise,48.994287,2.163736,26 Rue Jean Leclaire 95220 Herblay-sur-Seine,0.6713135664335664,,housenumber,95306_0750_00026,26,26 Rue Jean Leclaire,Rue Jean Leclaire,95220,Herblay-sur-Seine,"95, Val-d'Oise, Île-de-France",95306,,,,ok
2 RUE DES 2 FRERES LAPORTE 78970 MEZIERES SUR SEINE Yvelines,48.958828,1.809158,2 Rue des 2 Freres Laporte 78970 Mézières-sur-Seine,0.810179661016949,,housenumber,78402_0330_00002,2,2 Rue des 2 Freres Laporte,Rue des 2 Freres Laporte,78970,Mézières-sur-Seine,"78, Yvelines, Île-de-France",78402,,,,ok
16 RUE PIERRE LHOMME 92400 COURBEVOIE Hauts-de-Seine,48.897814,2.252987,16 Rue Pierre Lhomme 92400 Courbevoie,0.702201229946524,,housenumber,92026_7150_00016,16,16 Rue Pierre Lhomme,Rue Pierre Lhomme,92400,Courbevoie,"92, Hauts-de-Seine, Île-de-France",92026,,,,ok
62 Avenue GABRIEL PERI 93582 ST OUEN CEDEX Seine-Saint-Denis,48.907808,2.332368,62 Avenue Gabriel Péri 93400 Saint-Ouen-sur-Seine,0.6389793255131965,0.4287051871657753,housenumber,93070_4105_00062,62,62 Avenue Gabriel Péri,Avenue Gabriel Péri,93400,Saint-Ouen-sur-Seine,"93, Seine-Saint-Denis, Île-de-France",93070,,,,ok
170 BOULEVARD DES CHAMPS ELYSEES 91000 EVRY Essonne,48.637424,2.425681,170 Boulevard des Champs Elysées 91000 Évry-Courcouronnes,0.7840937904468412,,housenumber,91228_0261_00170,170,170 Boulevard des Champs Elysées,Boulevard des Champs Elysées,91000,Évry-Courcouronnes,"91, Essonne, Île-de-France",91228,91228,Évry,,ok
11 Place des Martyrs de l'Occupation Allemande 92110 CLICHY Hauts-de-Seine,48.901469,2.306664,11 Pl Myr de l’Occupation Allemande 92110 Clichy,0.5851657894736841,0.4343665289256198,housenumber,92024_w9cdxz_00011,11,11 Pl Myr de l’Occupation Allemande,Pl Myr de l’Occupation Allemande,92110,Clichy,"92, Hauts-de-Seine, Île-de-France",92024,,,,ok
40 Avenue DE VERDUN 94000 CRETEIL Val-de-Marne,48.797697,2.46454,40 Avenue de Verdun 94000 Créteil,0.7105473737373736,,housenumber,94028_9618_00040,40,40 Avenue de Verdun,Avenue de Verdun,94000,Créteil,"94, Val-de-Marne, Île-de-France",94028,,,,ok
19 RUE DE LA LIBERATION 91750 CHEVANNES Essonne,48.53254,2.445018,19 Rue de la Libération 91750 Chevannes,0.7984935968379446,,housenumber,91159_0040_00019,19,19 Rue de la Libération,Rue de la Libération,91750,Chevannes,"91, Essonne, Île-de-France",91159,,,,ok
206 Boulevard PEREIRE 75017 PARIS Paris,48.880461,2.288405,206 Boulevard Pereire 75017 Paris,0.8406984210526315,,housenumber,75117_7258_00206,206,206 Boulevard Pereire,Boulevard Pereire,75017,Paris,"75, Paris, Île-de-France",75117,,,Paris 17e Arrondissement,ok
9 AVENUE FAIDHERBE 93310 LE PRE ST GERVAIS Seine-Saint-Denis,48.879226,2.411854,9 Avenue Faidherbe 93310 Le Pré-Saint-Gervais,0.7337406471494606,,housenumber,93061_3510_00009,9,9 Avenue Faidherbe,Avenue Faidherbe,93310,Le Pré-Saint-Gervais,"93, Seine-Saint-Denis, Île-de-France",93061,,,,ok
10 RUE SAINT LOUIS 78300 POISSY Yvelines,48.930488,2.03833,10 Rue Saint Louis 78300 Poissy,0.7518952447552447,0.5676168831168831,housenumber,78498_dbsw4s_00010,10,10 Rue Saint Louis,Rue Saint Louis,78300,Poissy,"78, Yvelines, Île-de-France",78498,,,,ok
120 AVENUE DE LA REPUBLIQUE 93300 AUBERVILLIERS Seine-Saint-Denis,48.90531,2.390213,120 Avenue de la République 93300 Aubervilliers,0.7212154545454544,,housenumber,93001_8120_00120,120,120 Avenue de la République,Avenue de la République,93300,Aubervilliers,"93, Seine-Saint-Denis, Île-de-France",93001,,,,ok
26 RUE DE L UNIVERSITE 75007 PARIS Paris,48.857142,2.329645,26 Rue de l'Université 75007 Paris,0.837798041958042,,housenumber,75107_9527_00026,26,26 Rue de l'Université,Rue de l'Université,75007,Paris,"75, Paris, Île-de-France",75107,,,Paris 7e Arrondissement,ok
2 Avenue AIME CESAIRE 93500 PANTIN Seine-Saint-Denis,48.914291,2.411541,2 Avenue Aimé Césaire 93500 Pantin,0.6427352941176471,,housenumber,93055_0010_00002,2,2 Avenue Aimé Césaire,Avenue Aimé Césaire,93500,Pantin,"93, Seine-Saint-Denis, Île-de-France",93055,,,,ok
29 B Rue D ASTORG 75008 PARIS Paris,48.874042,2.319415,29b Rue d'Astorg 75008 Paris,0.7341328571428571,,housenumber,75108_0505_00029_b,29b,29b Rue d'Astorg,Rue d'Astorg,75008,Paris,"75, Paris, Île-de-France",75108,,,Paris 8e Arrondissement,ok
206 Boulevard PEREIRE 75017 PARIS Paris,48.880461,2.288405,206 Boulevard Pereire 75017 Paris,0.8406984210526315,,housenumber,75117_7258_00206,206,206 Boulevard Pereire,Boulevard Pereire,75017,Paris,"75, Paris, Île-de-France",75117,,,Paris 17e Arrondissement,ok
7 Place DU GENERAL LECLERC 93600 AULNAY SOUS BOIS Seine-Saint-Denis,48.927517,2.490794,7 Place du Général Leclerc 93600 Aulnay-sous-Bois,0.7194933884297521,,housenumber,93005_1530_00007,7,7 Place du Général Leclerc,Place du Général Leclerc,93600,Aulnay-sous-Bois,"93, Seine-Saint-Denis, Île-de-France",93005,,,,ok
19 RUE DES FEUILLANTINES 75005 PARIS Paris,48.8419,2.341644,19 Rue des Feuillantines 75005 Paris,0.8349168514412416,,housenumber,75105_3630_00019,19,19 Rue des Feuillantines,Rue des Feuillantines,75005,Paris,"75, Paris, Île-de-France",75105,,,Paris 5e Arrondissement,ok
134 RUE DE RENNES 75006 PARIS Paris,48.846066,2.325816,134 Rue de Rennes 75006 Paris,0.8137767379679144,,housenumber,75106_8151_00134,134,134 Rue de Rennes,Rue de Rennes,75006,Paris,"75, Paris, Île-de-France",75106,,,Paris 6e Arrondissement,ok
26 AVENUE DE VILLIERS 75017 PARIS Paris,48.882262,2.312801,26 Avenue de Villiers 75017 Paris,0.8376302392344497,0.6765267161410017,housenumber,75117_9841_00026,26,26 Avenue de Villiers,Avenue de Villiers,75017,Paris,"75, Paris, Île-de-France",75117,,,Paris 17e Arrondissement,ok
89 B Rue HAXO 75020 PARIS Paris,48.874827,2.402922,89b Rue Haxo 75020 Paris,0.7168740175953079,0.5278261038961038,housenumber,75120_4510_00089_b,89b,89b Rue Haxo,Rue Haxo,75020,Paris,"75, Paris, Île-de-France",75120,,,Paris 20e Arrondissement,ok
20 RUE JEAN JAURES 77130 MONTEREAU FAULT YONNE Seine-et-Marne,48.386425,2.957449,20 Rue Jean Jaurès 77130 Montereau-Fault-Yonne,0.7432736363636363,,housenumber,77305_0820_00020,20,20 Rue Jean Jaurès,Rue Jean Jaurès,77130,Montereau-Fault-Yonne,"77, Seine-et-Marne, Île-de-France",77305,,,,ok
11 RUE HENRI BARBUSSE 77130 VARENNES SUR SEINE Seine-et-Marne,48.374958,2.928814,11 Rue Henri Barbusse 77130 Varennes-sur-Seine,0.7287563636363635,,housenumber,77482_0400_00011,11,11 Rue Henri Barbusse,Rue Henri Barbusse,77130,Varennes-sur-Seine,"77, Seine-et-Marne, Île-de-France",77482,,,,ok
3 AVENUE DU MONT CASSEL 78990 ELANCOURT Yvelines,48.763556,1.955637,3 Avenue du Mont Cassel 78990 Élancourt,0.7935033075435203,,housenumber,78208_1960_00003,3,3 Avenue du Mont Cassel,Avenue du Mont Cassel,78990,Élancourt,"78, Yvelines, Île-de-France",78208,,,,ok
18 PLACE RAIMU 78120 RAMBOUILLET Yvelines,48.63509,1.831718,18 Place Raimu 78120 Rambouillet,0.7642363636363635,,housenumber,78517_0673_00018,18,18 Place Raimu,Place Raimu,78120,Rambouillet,"78, Yvelines, Île-de-France",78517,,,,ok
2 RUE CAMILLE DESMOULINS 78520 LIMAY Yvelines,48.98492,1.746261,2 Rue Camille Desmoulins 78520 Limay,0.7793341322314049,,housenumber,78335_0116_00002,2,2 Rue Camille Desmoulins,Rue Camille Desmoulins,78520,Limay,"78, Yvelines, Île-de-France",78335,,,,ok
5 RUE DES LOUVIERS 78100 ST GERMAIN EN LAYE Yvelines,48.89719,2.091374,5 Rue des Louviers 78100 Saint-Germain-en-Laye,0.7674870707070707,0.6288584848484847,housenumber,78551_1160_00005,5,5 Rue des Louviers,Rue des Louviers,78100,Saint-Germain-en-Laye,"78, Yvelines, Île-de-France",78551,78551,Saint-Germain-en-Laye,,ok
